K a n s a s   C i t y   R o y a l s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Mark,,,,MLB,,,19,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2024,,,,40 Man,,,33,,Years Paid,,,,Payroll,,"131,407,500","98,287,500","53,537,500","31,537,500","16,500,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,230-256,,,,Minors,,,51,,Status,,,,Dead Money,,"27,437,500","11,000,000","7,500,000",0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,6,,Future Status,,,,Total Payroll,,"158,845,000","109,287,500","61,037,500","31,537,500","16,500,000",0,0,0,0,0,0,0,0,0
,,,,AL Central Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"78,155,000","131,712,500","182,962,500","212,462,500","227,500,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,82.73%,89.93%,87.71%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,2025,,Payroll % Inactive,,17.27%,10.07%,12.29%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,C,Joey Bart,PIT,"7,000,000","7,000,000","7,000,000","7,000,000",UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SEA (23),,,C,Gabriel Moreno,ARZ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-ARZ (24),,,1B,Rhys Hoskins,MIL,"18,000,000","18,000,000",UFA,,,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-DET (23),,,1B,Michael Toglia,COL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,25,,,,,,,,,Trade-PHI (25),,,1B,Andrew Vaughn,CHW,ARB 3,UFA,,,,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,FYPD (22) Rd 4,,,1B,Alan Roden,TOR,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-MIA (25),,,2B,Jeff McNeil,NYM,"15,750,000","15,750,000",UFA,,,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-SEA (26),,,2B,Christian Koss,SF,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,25,,,,,,,,,Trade-SEA (26),,,2B,Zack Gelof,ATH,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Inaugural Draft,,,2B,Euribel Angeles,ATH,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,SS,Isiah Kiner-Falefa,PIT,"16,000,000","16,000,000","16,000,000",UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
