P h i l a d e l p h i a   P h i l l i e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Luke,,,,MLB,,,18,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,35,,Years Paid,,,,Payroll,,"204,621,000","204,451,000","196,200,000","229,200,000","211,880,000","92,110,000","64,110,000","35,000,000","35,000,000","33,000,000","28,000,000","28,000,000",0,0
,,,,Franchise Record,,,269-217,,,,Minors,,,120,,Status,,,,Dead Money,,"7,125,000",0,0.00,0.00,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,2,,,,Rotation,,,5,,Future Status,,,,Total Payroll,,"211,746,000","204,451,000","196,200,000","229,200,000","211,880,000","92,110,000","64,110,000","35,000,000","35,000,000","33,000,000","28,000,000","28,000,000",0,0
,,,,NL East Titles,,,1,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"25,254,000","36,549,000","47,800,000","14,800,000","32,120,000","151,890,000","179,890,000","209,000,000","209,000,000","211,000,000","216,000,000","216,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,96.64%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,3.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-ATH (25),,,C,Ryan Jeffers,MIN,ARB 3,UFA,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-LAA (22),,,C,Jeferson Quero,MIL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,,,,,,,,,,Waive-LAA (25),,,C,Hunter Feduccia,LAD,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-MIL (26),,,1B,Vladimir Guerrero Jr,TOR,"25,620,000","25,620,000","25,620,000","25,620,000","25,620,000",UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,,D,F,A,,-,O,N,L,Y,Trade-SD 25,,,2B,Brandon Lowe,TB,"11,500,000","19,320,000","19,320,000","19,320,000",UFA,,,,,,,,,
