B o s t o n   R e d   S o x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Scott,,,,MLB,,,27,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,34,,Years Paid,,,,Payroll,,"187,678,333","123,008,333","26,250,000","10,000,000","12,000,000","15,000,000","20,000,000",0,0,0,0,0,0,0
,,,,Franchise Record,,,247-239,,,,Minors,,,121,,Status,,,,Dead Money,,"8,090,000","4,340,000","2,604,000","2,604,000","2,604,000",0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,7,,Future Status,,,,Total Payroll,,"195,768,333","127,348,333","28,854,000","12,604,000","14,604,000","15,000,000","20,000,000",0,0,0,0,0,0,0
,,,,AL East Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"41,231,667","113,651,667","215,146,000","231,396,000","229,396,000","229,000,000","224,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,0,,Payroll % Active,,95.87%,96.59%,90.98%,79.34%,82.17%,100.00%,100.00%,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,4.13%,3.41%,9.02%,20.66%,17.83%,0.00%,0.00%,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,1B,Nate Lowe,WSH,ARB 4,UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,2B,Jose Altuve,HOU,"54,000,000","36,000,000",UFA,,,,,,,,,,,
X,,X,,,,,,,,,,,,,,FYPD (22) Rd 1,,,2B,Jace Jung,DET,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
