B a l t i m o r e   O r i o l e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Brock,,,,MLB,,,30,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,40,,Years Paid,,,,Payroll,,"30,335,000","23,250,000","23,250,000","23,250,000","34,875,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,300-186,,,,Minors,,,67,,Status,,,,Dead Money,,"1,250,000","1,250,000",0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,3,,,,Rotation,,,10,,Future Status,,,,Total Payroll,,"31,585,000","24,500,000","23,250,000","23,250,000","34,875,000",0,0,0,0,0,0,0,0,0
,,,,AL East Titles,,,3,,,,Injured List,,,0,,Extensions,,1,,Luxury Tax Space,,"205,415,000","216,500,000","220,750,000","220,750,000","209,125,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,96.04%,94.90%,100.00%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,3.96%,5.10%,0.00%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (23),,,C,David Fry,CLE,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,24,,,,,,,,,Trade-COL (23),,,1B,Sean Bouchard,COL,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAD (23),,,2B,Jose Caballero,SEA,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,2B,Michael Busch,CHC,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SS,Oneil Cruz,PIT,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-COL (22),,,SS,Anthony Volpe,NYY,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,Inaugural Draft,,,SS,Tyler Freeman ,CLE,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,,,,,,,,,,,Trade-ARZ (22),,,SS,Kahlil Watson,CLE,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,23,,,,,,,,,Inaugural Draft,,,SS,Joseph Ortiz,MIL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,23,24,25,,,,,,,Trade-LAA (22),,,SS,Brayan Rocchio,CLE,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Inaugural Draft,,,SS,Leonardo Jimenez ,TOR,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,25,,,,,,,,,Inaugural Draft,,,SS,Jose Tena,CLE,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,22,,,,,,,,,Trade-PHI (24),,,3B,Isaac Parades,HOU,ARB 3,ARB 4,UFA,,,,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Inaugural Draft,,,3B,Brett Baty,NYM,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (23),,,3B,Graham Pauley,SD,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,FYPD (22) Rd 1,,,OF,Spencer Jones,NYY,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SF (23),,,OF,James Wood,WSH,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,OF,Brandon Marsh,PHI,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,22,23,,,,,,,,Inaugural Draft,,,OF,Trevor Larnach,MIN,ARB 2,ARB 3,UFA,,,,,,,,,,,
