Durham Bulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Will,,,,MLB,,,26,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,26,,Years Paid,,,Payroll,,"72,463,750","55,937,500","47,937,500","28,250,000","28,250,000","19,500,000","9,000,000",0,0,0,0,0,0
,,,,Franchise Record,,,28-87,,,,Minors,,,39,,Status,,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,5,,Future Status,,,Total Payroll,,"72,463,750","55,937,500","47,937,500","28,250,000","28,250,000","19,500,000","9,000,000",0,0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"168,536,250","188,062,500","196,062,500","215,750,000","215,750,000","224,500,000","235,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Rene Pinto,TB,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Ryan Jeffers,MIN,ARB 3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,1B,Jac Caglianone,KC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Ha-Seong Kim,SD,"10,500,000","10,500,000","10,500,000","10,500,000","10,500,000","10,500,000",UFA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Gabriel Arias,CLE,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Kyren Paris,LAA,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Max Muncy,OAK,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,
