LAS VEGAS AVIATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Kyle,,,,MLB,,,28,,Tax Bill Paid,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,Joined,,,2024,,,,40 Man,,,28,,Years Paid,,,Payroll,,"111,339,999","89,799,999","89,799,999","53,799,999","53,799,999","36,899,999",0,0,0,0,0,0,0
,,,,Franchise Record,,,66-49,,,,Minors,,,105,,Status,,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,4,,Future Status,,,Total Payroll,,"111,339,999","89,799,999","89,799,999","53,799,999","53,799,999","36,899,999",0,0,0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,2,,Luxury Tax Space,,"129,660,001","154,200,001","154,200,001","190,200,001","190,200,001","207,100,001","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,C,Patrick Bailey,SF,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,C,Freddy Fermin,KC,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,C,Gustavo Campero,LAA,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
